Winner,Team 1 Side,Team 1 Pick Order,Team 1 Pick 1,Team 1 Pick 2,Team 1 Pick 3,Team 1 Pick 4,Team 1 Pick 5,Team 1 Name,Team 2 Name,Team 2 Pick 1,Team 2 Pick 2,Team 2 Pick 3,Team 2 Pick 4,Team 2 Pick 5,Team 2 Side,Team 2 Pick Order,Stage
1,Radiant,2nd Pick,Magnus,Juggernaut,Crystal Maiden,Bounty Hunter,Shadow Fiend,Invictus Gaming,Mousesports,Treant Protector,Beastmaster,Disruptor,Timbersaw,Templar Assassin,Dire,1st Pick,Kiev Major
2,Dire,1st Pick,Monkey King,Treant Protector,Templar Assassin,Night Stalker,Spectre,Wings / Team Random,Newbee,Rubick,Sand King,Invoker,Batrider,Terrorblade,Radiant,2nd Pick,Kiev Major
2,Dire,2nd Pick,Lich,Puck,Earth Spirit,Timbersaw,Razor,Wings / Team Random,Newbee,Legion Commander,Silencer,Riki,Sven,Crystal Maiden,Radiant,1st Pick,Kiev Major
2,Dire,2nd Pick,Keeper of the Light,Nyx Assassin,Warlock,Clinkz,Tinker,Team Faceless,Liquid,Monkey King,Juggernaut,Witch Doctor,Nature's Prophet,Lycan,Radiant,1st Pick,Kiev Major
2,Radiant,2nd Pick,Arc Warden,Witch Doctor,Undying,Clockwerk,Dragon Knight,Team Faceless,Liquid,Treant Protector,Lion,Enigma,Vengeful Spirit,Storm Spirit,Dire,1st Pick,Kiev Major
1,Radiant,2nd Pick,Slardar,Nyx Assassin,Spectre,Dazzle,Outworld Devourer,TnC,Digital Chaos,Crystal Maiden,Abaddon,Undying,Slark,Dragon Knight,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Monkey King,Axe,Dazzle,Weaver,Templar Assassin,TnC,Digital Chaos,Legion Commander,Riki,Vengeful Spirit,Silencer,Alchemist,Radiant,2nd Pick,Kiev Major
2,Dire,2nd Pick,Earth Spirit,Dark Seer,Juggernaut,Winter Wyvern,Troll Warlord,TnC,Digital Chaos,Legion Commander,Warlock,Riki,Weaver,Shadow Fiend,Radiant,1st Pick,Kiev Major
1,Radiant,2nd Pick,Night Stalker,Omniknight,Ember Spirit,Disruptor,Sniper,Vici Gaming J,Mousesports,Keeper of the Light,Juggernaut,Bane,Bristleback,Outworld Devourer,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Treant Protector,Omniknight,Vengeful Spirit,Shadow Fiend,Phantom Assassin,Vici Gaming J,Mousesports,Io,Ember Spirit,Rubick,Weaver,Batrider,Radiant,2nd Pick,Kiev Major
2,Dire,1st Pick,Batrider,Alchemist,Elder Titan,Lina,Timbersaw,OG,Thunderbirds,Treant Protector,Meepo,Lifestealer,Slardar,Vengeful Spirit,Radiant,2nd Pick,Kiev Major
2,Radiant,1st Pick,Monkey King,Arc Warden,Warlock,Dragon Knight,Legion Commander,OG,Thunderbirds,Beastmaster,Rubick,Lina,Bounty Hunter,Anti-Mage,Dire,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Riki,Omniknight,Ember Spirit,Warlock,Sven,Invictus Gaming,Evil Geniuses,Magnus,Rubick,Doom,Juggernaut,Tiny,Dire,1st Pick,Kiev Major
1,Dire,2nd Pick,Magnus,Juggernaut,Crystal Maiden,Monkey King,Templar Assassin,Invictus Gaming,Evil Geniuses,Io,Spirit Breaker,Invoker,Clinkz,Beastmaster,Radiant,1st Pick,Kiev Major
2,Radiant,1st Pick,Treant Protector,Ember Spirit,Phoenix,Batrider,Phantom Assassin,Invictus Gaming,Evil Geniuses,Nature's Prophet,Invoker,Windranger,Rubick,Slark,Dire,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Crystal Maiden,Enigma,Kunkka,Spectre,Sniper,Team Secret,Invictus Gaming,Treant Protector,Vengeful Spirit,Medusa,Phoenix,Puck,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Riki,Abaddon,Templar Assassin,Shadow Shaman,Lycan,Team Secret,Invictus Gaming,Legion Commander,Vengeful Spirit,Lina,Pudge,Sven,Radiant,2nd Pick,Kiev Major
2,Dire,1st Pick,Lina,Centaur Warrunner,Lifestealer,Silencer,Earth Spirit,SG e-sports,Team Faceless,Nyx Assassin,Keeper of the Light,Invoker,Jakiro,Slark,Radiant,2nd Pick,Kiev Major
2,Dire,2nd Pick,Lina,Crystal Maiden,Night Stalker,Enigma,Tiny,SG e-sports,Team Faceless,Treant Protector,Arc Warden,Witch Doctor,Dragon Knight,Bristleback,Radiant,1st Pick,Kiev Major
1,Radiant,1st Pick,Warlock,Magnus,Ogre Magi,Juggernaut,Phantom Assassin,Virtus Pro,TnC,Earth Spirit,Lina,Rubick,Batrider,Morphling,Dire,2nd Pick,Kiev Major
1,Dire,2nd Pick,Magnus,Crystal Maiden,Slardar,Lifestealer,Spectre,Virtus Pro,TnC,Earth Spirit,Nyx Assassin,Dazzle,Terrorblade,Tinker,Radiant,1st Pick,Kiev Major
2,Radiant,1st Pick,Treant Protector,Phantom Assassin,Dark Seer,Crystal Maiden,Storm Spirit,Vici Gaming J,Thunderbirds,Beastmaster,Rubick,Phoenix,Ember Spirit,Medusa,Dire,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Abaddon,Night Stalker,Warlock,Lina,Lifestealer,Vici Gaming J,Thunderbirds,Keeper of the Light,Legion Commander,Monkey King,Puck,Slark,Dire,1st Pick,Kiev Major
2,Radiant,1st Pick,Treant Protector,Dark Seer,Phantom Assassin,Ember Spirit,Warlock,Vici Gaming J,Thunderbirds,Rubick,Beastmaster,Juggernaut,Pudge,Bristleback,Dire,2nd Pick,Kiev Major
1,Dire,2nd Pick,Windranger,Nature's Prophet,Rubick,Invoker,Slark,Evil Geniuses,Newbee,Magnus,Ember Spirit,Crystal Maiden,Phantom Assassin,Bounty Hunter,Radiant,1st Pick,Kiev Major
1,Dire,1st Pick,Magnus,Riki,Windranger,Troll Warlord,Ember Spirit,Evil Geniuses,Newbee,Rubick,Juggernaut,Earth Spirit,Lina,Tidehunter,Radiant,2nd Pick,Kiev Major
2,Dire,1st Pick,Vengeful Spirit,Warlock,Centaur Warrunner,Invoker,Earth Spirit,iG Vitality,Mousesports,Keeper of the Light,Legion Commander,Bane,Ember Spirit,Templar Assassin,Radiant,2nd Pick,Kiev Major
2,Radiant,2nd Pick,Invoker,Beastmaster,Witch Doctor,Terrorblade,Riki,iG Vitality,Mousesports,Legion Commander,Outworld Devourer,Rubick,Slark,Pudge,Dire,1st Pick,Kiev Major
2,Dire,1st Pick,Monkey King,Rubick,Shadow Fiend,Spectre,Doom,iG Vitality,Vici Gaming J,Nyx Assassin,Omniknight,Phantom Assassin,Keeper of the Light,Storm Spirit,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Nyx Assassin,Invoker,Crystal Maiden,Beastmaster,Slark,iG Vitality,Vici Gaming J,Abaddon,Juggernaut,Bounty Hunter,Lion,Phantom Lancer,Dire,1st Pick,Kiev Major
2,Dire,1st Pick,Monkey King,Omniknight,Weaver,Silencer,Storm Spirit,iG Vitality,Vici Gaming J,Warlock,Abaddon,Crystal Maiden,Puck,Anti-Mage,Radiant,2nd Pick,Kiev Major
1,Dire,1st Pick,Magnus,Riki,Crystal Maiden,Queen of Pain,Spectre,Evil Geniuses,Team Faceless,Warlock,Nature's Prophet,Spirit Breaker,Terrorblade,Storm Spirit,Radiant,2nd Pick,Kiev Major
2,Radiant,2nd Pick,Riki,Crystal Maiden,Puck,Nature's Prophet,Anti-Mage,Evil Geniuses,Team Faceless,Warlock,Shadow Fiend,Earth Spirit,Timbersaw,Tiny,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Treant Protector,Nature's Prophet,Windranger,Invoker,Clinkz,Evil Geniuses,Team Faceless,Crystal Maiden,Magnus,Earth Spirit,Troll Warlord,Broodmother,Radiant,2nd Pick,Kiev Major
2,Radiant,1st Pick,Monkey King,Juggernaut,Legion Commander,Ember Spirit,Keeper of the Light,SG e-sports,Liquid,Io,Clockwerk,Tusk,Bristleback,Templar Assassin,Dire,2nd Pick,Kiev Major
2,Radiant,2nd Pick,Clockwerk,Crystal Maiden,Juggernaut,Shadow Fiend,Earth Spirit,SG e-sports,Liquid,Treant Protector,Io,Omniknight,Terrorblade,Vengeful Spirit,Dire,1st Pick,Kiev Major
1,Dire,2nd Pick,Earth Spirit,Lina,Rubick,Sand King,Naga Siren,TnC,Thunderbirds,Monkey King,Nature's Prophet,Oracle,Faceless Void,Death Prophet,Radiant,1st Pick,Kiev Major
1,Dire,2nd Pick,Slardar,Dazzle,Nyx Assassin,Spectre,Silencer,TnC,Thunderbirds,Monkey King,Abaddon,Disruptor,Naga Siren,Windranger,Radiant,1st Pick,Kiev Major
2,Dire,2nd Pick,Nyx Assassin,Ogre Magi,Vengeful Spirit,Lifestealer,Lina,TnC,Thunderbirds,Treant Protector,Clockwerk,Rubick,Terrorblade,Razor,Radiant,1st Pick,Kiev Major
1,Dire,2nd Pick,Magnus,Riki,Silencer,Storm Spirit,Anti-Mage,Invictus Gaming,OG,Monkey King,Phoenix,Clockwerk,Dragon Knight,Spectre,Radiant,1st Pick,Kiev Major
1,Radiant,2nd Pick,Magnus,Juggernaut,Phoenix,Earth Spirit,Templar Assassin,Invictus Gaming,OG,Monkey King,Arc Warden,Clockwerk,Invoker,Silencer,Dire,1st Pick,Kiev Major
1,Radiant,2nd Pick,Crystal Maiden,Abaddon,Bounty Hunter,Ember Spirit,Phantom Lancer,Team Secret,Digital Chaos,Treant Protector,Invoker,Rubick,Sand King,Bristleback,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Treant Protector,Dark Seer,Lion,Spectre,Death Prophet,Team Secret,Digital Chaos,Vengeful Spirit,Undying,Sand King,Juggernaut,Medusa,Radiant,2nd Pick,Kiev Major
1,Dire,1st Pick,Legion Commander,Vengeful Spirit,Undying,Invoker,Timbersaw,Digital Chaos,Newbee,Monkey King,Warlock,Centaur Warrunner,Sven,Puck,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Monkey King,Vengeful Spirit,Sand King,Warlock,Shadow Fiend,Digital Chaos,Newbee,Crystal Maiden,Abaddon,Earth Spirit,Lina,Lifestealer,Dire,1st Pick,Kiev Major
2,Dire,1st Pick,Treant Protector,Magnus,Shadow Shaman,Anti-Mage,Omniknight,Evil Geniuses,TnC,Earth Spirit,Crystal Maiden,Axe,Lina,Terrorblade,Radiant,2nd Pick,Kiev Major
2,Dire,1st Pick,Treant Protector,Lifestealer,Shadow Shaman,Troll Warlord,Faceless Void,Evil Geniuses,TnC,Crystal Maiden,Nyx Assassin,Ogre Magi,Slark,Phantom Lancer,Radiant,2nd Pick,Kiev Major
2,Radiant,1st Pick,Monkey King,Invoker,Crystal Maiden,Naga Siren,Earth Spirit,Liquid,Thunderbirds,Nature's Prophet,Rubick,Puck,Pudge,Morphling,Dire,2nd Pick,Kiev Major
2,Radiant,2nd Pick,Monkey King,Night Stalker,Crystal Maiden,Lifestealer,Arc Warden,Liquid,Thunderbirds,Keeper of the Light,Sand King,Tusk,Terrorblade,Bristleback,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Monkey King,Templar Assassin,Winter Wyvern,Spectre,Doom,Liquid,Thunderbirds,Beastmaster,Invoker,Warlock,Sand King,Wraith King,Radiant,2nd Pick,Kiev Major
2,Radiant,1st Pick,Treant Protector,Witch Doctor,Nyx Assassin,Invoker,Faceless Void,Team Faceless,Virtus Pro,Dark Seer,Slardar,Warlock,Ember Spirit,Terrorblade,Dire,2nd Pick,Kiev Major
2,Dire,2nd Pick,Abaddon,Crystal Maiden,Spirit Breaker,Tinker,Morphling,Team Faceless,Virtus Pro,Magnus,Monkey King,Troll Warlord,Storm Spirit,Ogre Magi,Radiant,1st Pick,Kiev Major
1,Dire,1st Pick,Vengeful Spirit,Crystal Maiden,Terrorblade,Omniknight,Earthshaker,Wings / Team Random,iG Vitality,Magnus,Riki,Warlock,Phantom Assassin,Lina,Radiant,2nd Pick,Kiev Major
1,Dire,1st Pick,Vengeful Spirit,Legion Commander,Keeper of the Light,Medusa,Ogre Magi,Wings / Team Random,iG Vitality,Magnus,Riki,Witch Doctor,Phantom Assassin,Invoker,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Dazzle,Ember Spirit,Earthshaker,Brewmaster,Troll Warlord,Wings / Team Random,iG Vitality,Treant Protector,Vengeful Spirit,Centaur Warrunner,Warlock,Shadow Fiend,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Warlock,Tusk,Centaur Warrunner,Lycan,Invoker,Team Secret,Vici Gaming J,Legion Commander,Silencer,Earth Spirit,Lina,Lifestealer,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Abaddon,Bounty Hunter,Io,Shadow Fiend,Chaos Knight,Team Secret,Vici Gaming J,Crystal Maiden,Omniknight,Ember Spirit,Luna,Vengeful Spirit,Dire,1st Pick,Kiev Major
1,Radiant,2nd Pick,Treant Protector,Enigma,Vengeful Spirit,Terrorblade,Dragon Knight,OG,SG e-sports,Monkey King,Rubick,Centaur Warrunner,Invoker,Faceless Void,Dire,1st Pick,Kiev Major
2,Dire,1st Pick,Monkey King,Enigma,Disruptor,Naga Siren,Outworld Devourer,OG,SG e-sports,Treant Protector,Legion Commander,Ember Spirit,Silencer,Morphling,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Monkey King,Batrider,Shadow Shaman,Arc Warden,Faceless Void,OG,SG e-sports,Clockwerk,Crystal Maiden,Enigma,Slark,Puck,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Legion Commander,Vengeful Spirit,Earth Spirit,Lina,Weaver,Invictus Gaming,Mousesports,Dazzle,Lifestealer,Outworld Devourer,Winter Wyvern,Batrider,Radiant,2nd Pick,Kiev Major
1,Dire,1st Pick,Legion Commander,Vengeful Spirit,Riki,Ember Spirit,Phoenix,Invictus Gaming,Mousesports,Monkey King,Keeper of the Light,Axe,Outworld Devourer,Troll Warlord,Radiant,2nd Pick,Kiev Major
1,Dire,1st Pick,Treant Protector,Naga Siren,Disruptor,Axe,Invoker,OG,Wings / Team Random,Ember Spirit,Dazzle,Earthshaker,Troll Warlord,Broodmother,Radiant,2nd Pick,Kiev Major
2,Radiant,2nd Pick,Clockwerk,Warlock,Shadow Demon,Abaddon,Kunkka,OG,Wings / Team Random,Monkey King,Crystal Maiden,Batrider,Morphling,Lina,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Monkey King,Puck,Naga Siren,Disruptor,Templar Assassin,OG,Wings / Team Random,Vengeful Spirit,Legion Commander,Warlock,Lion,Medusa,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Monkey King,Legion Commander,Spectre,Warlock,Ember Spirit,Digital Chaos,Liquid,Crystal Maiden,Clockwerk,Lina,Naga Siren,Riki,Dire,1st Pick,Kiev Major
2,Dire,1st Pick,Monkey King,Abaddon,Vengeful Spirit,Shadow Fiend,Witch Doctor,Digital Chaos,Liquid,Crystal Maiden,Doom,Earthshaker,Spectre,Tinker,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Monkey King,Abaddon,Crystal Maiden,Dragon Knight,Weaver,Digital Chaos,Liquid,Earthshaker,Invoker,Warlock,Clockwerk,Razor,Dire,1st Pick,Kiev Major
1,Radiant,2nd Pick,Warlock,Legion Commander,Earth Spirit,Invoker,Sven,OG,Ad Finem,Rubick,Mirana,Nyx Assassin,Lifestealer,Templar Assassin,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Shadow Demon,Mirana,Juggernaut,Dragon Knight,Nyx Assassin,OG,Ad Finem,Luna,Rubick,Earthshaker,Puck,Legion Commander,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,1st Pick,Batrider,Drow Ranger,Dazzle,Dragon Knight,Slardar,OG,Ad Finem,Nyx Assassin,Rubick,Bounty Hunter,Phantom Assassin,Outworld Devourer,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Luna,Warlock,Outworld Devourer,Earth Spirit,Legion Commander,OG,Ad Finem,Shadow Demon,Clockwerk,Puck,Drow Ranger,Weaver,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Rubick,Juggernaut,Tidehunter,Windranger,Earth Spirit,Digital Chaos,Ad Finem,Bounty Hunter,Nyx Assassin,Ogre Magi,Sniper,Timbersaw,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Batrider,Warlock,Undying,Dragon Knight,Morphling,Digital Chaos,Ad Finem,Rubick,Nyx Assassin,Lifestealer,Timbersaw,Enigma,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,2nd Pick,Ogre Magi,Ursa,Rubick,Morphling,Clockwerk,Evil Geniuses,OG,Dark Seer,Alchemist,Slardar,Dazzle,Outworld Devourer,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Shadow Demon,Mirana,Nyx Assassin,Luna,Leshrac,Evil Geniuses,OG,Naga Siren,Keeper of the Light,Clockwerk,Rubick,Dragon Knight,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Nyx Assassin,Rubick,Lifestealer,Mirana,Outworld Devourer,Ad Finem,LGD.Forever Young,Batrider,Silencer,Ursa,Alchemist,Sand King,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Ogre Magi,Dark Seer,Weaver,Alchemist,Warlock,Ad Finem,LGD.Forever Young,Bounty Hunter,Batrider,Disruptor,Timbersaw,Terrorblade,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,1st Pick,Io,Batrider,Clockwerk,Puck,Morphling,Ad Finem,LGD.Forever Young,Sand King,Enigma,Weaver,Vengeful Spirit,Juggernaut,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Warlock,Luna,Earthshaker,Alchemist,Axe,Digital Chaos,Team NP,Sand King,Rubick,Sven,Elder Titan,Timbersaw,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Keeper of the Light,Naga Siren,Legion Commander,Rubick,Templar Assassin,Digital Chaos,Team NP,Warlock,Venomancer,Omniknight,Drow Ranger,Outworld Devourer,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
